CUSTOMER_ID,AGE,ACCOUNT_AGE_DAYS,TOTAL_ORDERS,TOTAL_SPEND,AVG_ORDER_VALUE,DAYS_SINCE_LAST_ORDER,BROWSE_SESSIONS,PAGES_PER_SESSION,AVG_SESSION_DURATION_MIN,CART_ABANDONMENT_RATE,WISHLIST_ITEMS,COUPON_USAGE_COUNT,REVIEW_COUNT,AVG_REVIEW_RATING,RETURN_RATE,MOBILE_ORDER_PCT,LOYALTY_POINTS
EC00001,49,1717,17,1141.34,67.14,357,22,6.29,6.9,0.324448,5,4,5,2.9,0.114757,0.284806,11511
EC00002,29,1078,8,964.37,120.55,241,22,8.74,19.75,0.471907,4,4,2,3.3,0.156989,0.325361,8805
EC00003,35,857,13,792.74,60.98,61,20,13.99,6.38,0.167852,4,3,1,4.1,0.338471,0.833577,6604
EC00004,24,1722,8,1272.56,159.07,313,16,4.26,6.82,0.195472,8,3,0,3.9,0.271105,0.473465,10619
EC00005,41,179,10,723.44,72.34,364,22,4.75,12.29,0.556845,5,4,0,4.5,0.264352,0.512582,14295
EC00006,29,1478,17,1320.82,77.7,28,26,6.26,22.36,0.298286,8,3,3,3.3,0.075473,0.561496,947
EC00007,65,517,13,839.91,64.61,155,15,8.3,14.46,0.548755,7,6,3,3.5,0.097993,0.622073,9741
EC00008,27,861,15,849.75,56.65,3,15,8.05,12.15,0.42283,3,4,3,4.6,0.056901,0.783251,2329
EC00009,31,187,11,1915.5,,50,19,3.0,13.99,0.260387,4,4,0,3.1,0.146987,0.43301,5863
EC00010,58,1016,8,625.16,78.14,42,16,2.95,4.87,0.335605,3,4,7,4.5,0.060154,0.434314,11761
EC00011,22,113,16,1291.17,80.7,6,16,1.0,2.57,0.294019,6,3,0,3.4,0.180539,0.600612,2013
EC00012,58,1817,9,2487.97,276.44,144,24,9.1,11.72,0.366469,3,3,3,1.7,0.131483,0.407872,11893
EC00013,71,455,15,3400.14,226.68,176,16,7.0,32.64,0.15729,6,3,0,3.1,0.114371,0.450428,3549
EC00014,46,921,14,882.74,63.05,180,15,3.51,6.85,0.433207,2,4,2,4.5,0.298226,0.640935,5369
EC00015,18,1316,8,1787.65,223.46,308,18,10.02,25.77,0.314374,7,3,2,4.3,0.200101,0.115879,7847
EC00016,64,1738,9,836.15,92.91,260,16,10.62,17.83,0.690462,4,2,0,5.0,0.043565,0.697629,13580
EC00017,23,853,8,374.27,46.78,259,22,7.59,3.73,0.447767,3,1,3,4.1,0.18724,0.649839,7140
EC00018,30,908,12,885.16,73.76,245,12,9.53,14.32,0.345772,4,5,3,3.3,0.047908,0.577562,12476
EC00019,47,1988,13,541.56,41.66,24,16,13.4,5.67,0.275327,5,4,2,4.7,0.103696,0.579083,1387
EC00020,58,1867,9,1680.76,186.75,350,20,8.5,6.5,0.138562,3,1,3,5.0,0.155898,0.265546,9728
EC00021,67,658,12,1504.78,125.4,96,22,7.54,5.85,0.165082,5,3,3,4.5,0.214753,0.598412,9985
EC00022,37,522,11,660.77,60.07,143,24,5.4,10.73,0.023368,5,1,5,,0.139304,0.269605,9065
EC00023,65,778,19,3212.91,169.1,116,29,5.32,14.89,0.291315,5,2,2,4.5,0.198902,0.350171,2332
EC00024,26,1383,14,1295.76,92.55,51,34,2.38,19.88,0.277339,4,3,2,3.6,0.12984,0.498911,3973
EC00025,69,1800,22,2839.11,129.05,44,17,6.57,7.61,0.566539,2,5,1,2.9,0.048564,0.620956,14614
